Id,Fecha,Año,Mes,Día,Día semana,Hora completa,Hora,Num víctimas,Participantes,Rol,Acusado,Victima,Sexo,Edad,Rango etario,Fecha fallecimiento,Lugar del hecho,Tipo de calle,Calle,Cruce,Dirección normalizada,Comuna,Barrios,Xy (caba),Coordenada x,Coordenada y,Pos x,Pos y
2016-0015,2016-02-14,2016,2,14,Domingo,05:14:00,5,1,PEATON-AUTO,PEATON,AUTO,PEATON,FEMENINO,16,Menos de 20,2016-02-14,AV SCALABRINI ORTIZ Y VERA,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",VERA,"SCALABRINI ORTIZ, RAUL AV. y VERA",Comuna 15,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,Point (102357.43746828 103343.52002839),102357.43746828,103343.52002839,-58.4376002,-34.59912758
2016-0016,2016-02-14,2016,2,14,Domingo,22:00:00,22,1,MOTO-AUTO,PASAJERO_ACOMPAÑANTE,AUTO,MOTO,FEMENINO,19,Menos de 20,2016-02-14,AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO,AVENIDA,REGIMIENTO DE PATRICIOS AV.,"QUINQUELA MARTIN, BENITO","REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",Comuna 4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Point (108661.59115206 98481.75445555),108661.59115206,98481.75445555,-58.36882665,-34.64291993
2016-0017,2016-02-15,2016,2,15,Lunes,16:54:00,16,1,PEATON-MOTO,PEATON,MOTO,PEATON,MASCULINO,59,Entre 41-60,2016-02-16,MARIANO ACOSTA Y ANA MARIA JANER,AVENIDA,"ACOSTA, MARIANO","JANER, ANA MARIA","ACOSTA, MARIANO y JANER, ANA MARIA",Comuna 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Point (101228.61094416 96623.72136186),101228.61094416,96623.72136186,-58.44989671,-34.65970435
2016-0019,2016-02-17,2016,2,17,Miercoles,09:30:00,9,1,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,FEMENINO,65,Entre 61-80,2016-02-17,LISANDRO DE LA TORRE Y SEVERO GARCIA GRANDE DE ZEQUEIRA ,CALLE,"DE LA TORRE, LISANDRO","GARCIA GRANDE DE ZEQUEIRA, SEVERO","DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",Comuna 9,LINIERS - MATADEROS - PARQUE AVELLANEDA,Point (95727.37083199 97179.35560349),95727.37083199,97179.35560349,-58.50990884,-34.65468721
2016-0020,2016-02-17,2016,2,17,Miercoles,16:00:00,16,1,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,59,Entre 41-60,2016-03-02,SUIPACHA 156,CALLE,SUIPACHA,,SUIPACHA 156,Comuna 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Point (107684.31807562 102519.17333314),107684.31807562,102519.17333314,-58.37952223,-34.60653282
2016-0021,2016-02-17,2016,2,17,Miercoles,23:35:00,23,1,AUTO-AUTO,CONDUCTOR,AUTO,AUTO,MASCULINO,34, Entre 21- 40,2016-02-17,AV DIRECTORIO Y CURAPALIGUE,AVENIDA,DIRECTORIO AV.,CURAPALIGUE,DIRECTORIO AV. y CURAPALIGUE,Comuna 7,FLORES - PARQUE CHACABUCO,Point (101074.94198885 99848.19369046),101074.94198885,99848.19369046,-58.45157703,-34.63063795
2016-0022,2016-02-21,2016,2,21,Domingo,06:00:00,6,1,MOTO-AUTO,PASAJERO_ACOMPAÑANTE,AUTO,MOTO,MASCULINO,41,Entre 41-60,,AV 9 DE JULIO Y ADOLFO ALSINA,AVENIDA,9 DE JULIO AV.,"ALSINA, ADOLFO","9 DE JULIO AV. y ALSINA, ADOLFO",Comuna 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Point (107507.39502374 102046.08333077),107507.39502374,102046.08333077,-58.38144696,-34.61079875
2016-0025,2016-02-28,2016,2,28,Domingo,04:50:00,4,1,AUTO-AUTO,PASAJERO_ACOMPAÑANTE,AUTO,AUTO,MASCULINO,34, Entre 21- 40,2016-02-28,AV GRAL PAZ Y AV 27 DE FEBRERO,GRAL PAZ,"PAZ, GRAL. AV.",27 DE FEBRERO AV.,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",Comuna 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Point (100077.95205948 91571.23307293),100077.95205948,91571.23307293,-58.46244952,-34.70524971
2016-0026,2016-02-28,2016,2,28,Domingo,07:30:00,7,1,AUTO-OBJETO FIJO,CONDUCTOR,OBJETO FIJO,AUTO,MASCULINO,30, Entre 21- 40,2016-03-04,HOLMBERG Y VEDIA,CALLE,HOLMBERG,VEDIA,HOLMBERG y VEDIA,Comuna 12,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,Point (97350.75566590 109083.19420265),97350.7556659,109083.19420265,-58.49216191,-34.54738649
2016-0027,2016-02-28,2016,2,28,Domingo,09:35:00,9,1,AUTO-AUTO,PASAJERO_ACOMPAÑANTE,AUTO,AUTO,MASCULINO,34, Entre 21- 40,,CURAPALIGUE Y AVELINO DIAZ,AVENIDA,CURAPALIGUE AV.,"DIAZ, AVELINO","CURAPALIGUE AV. y DIAZ, AVELINO",Comuna 7,FLORES - PARQUE CHACABUCO,Point (101679.82794245 98973.02976850),101679.82794245,98973.0297685,-58.44497874,-34.63852623
2016-0028,2016-03-02,2016,3,2,Miercoles,10:00:00,10,1,PEATON-CARGAS,PEATON,CARGAS,PEATON,MASCULINO,50,Entre 41-60,2016-03-02,VIAMONTE Y AV 9 DE JULIO,AVENIDA,VIAMONTE,9 DE JULIO AV.,VIAMONTE y 9 DE JULIO AV.,Comuna 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Point (107457.87314266 103212.28518029),107457.87314266,103212.28518029,-58.38199706,-34.60028648
2016-0029,2016-03-04,2016,3,4,Viernes,17:30:00,17,1,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,38, Entre 21- 40,2016-03-04,AV CABILDO Y DEHEZA,AVENIDA,CABILDO AV.,DEHEZA,CABILDO AV. y DEHEZA,Comuna 12,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,Point (99037.31284333 109733.12041651),99037.31284333,109733.12041651,-58.47378664,-34.54153077
2016-0031,2016-03-08,2016,3,8,Martes,12:30:00,12,1,MOTO-PASAJEROS,CONDUCTOR,PASAJEROS,MOTO,MASCULINO,21, Entre 21- 40,,AV GRAL PAZ Y AV CNEL ROCA,GRAL PAZ,"PAZ, GRAL. AV.","ROCA, CNEL. AV.","PAZ, GRAL. AV. y ROCA, CNEL. AV.",Comuna 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Point (99327.01838497 92326.91130631),99327.01838497,92326.91130631,-58.47064556,-34.69843756
2016-0034,2016-03-12,2016,3,12,Sabado,12:30:00,12,1,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,52,Entre 41-60,2016-03-12,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,"ALCORTA, AMANCIO AV.","BONAVENA, OSCAR NATALIO","ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",Comuna 4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Point (105230.98315750 97613.97258373),105230.9831575,97613.97258373,-58.40623949,-34.65076549
2016-0035,2016-03-13,2016,3,13,Domingo,06:00:00,6,1,MOTO-PASAJEROS,CONDUCTOR,PASAJEROS,MOTO,MASCULINO,34, Entre 21- 40,2016-03-13,AV CORRIENTES Y AV CALLAO,AVENIDA,CORRIENTES AV.,CALLAO AV.,CORRIENTES AV. y CALLAO AV.,Comuna 3,BALVANERA - SAN CRISTOBAL,Point (106513.41423248 102752.75354401),106513.41423248,102752.75354401,-58.39228965,-34.60443527
2016-0036,2016-03-14,2016,3,14,Lunes,00:15:00,0,1,MOTO-PASAJEROS,PASAJERO_ACOMPAÑANTE,PASAJEROS,MOTO,MASCULINO,36, Entre 21- 40,2016-03-14,HERRERA Y ARISTOBULO DEL VALLE,CALLE,HERRERA,"VALLE, ARISTOBULO DEL","HERRERA y VALLE, ARISTOBULO DEL",Comuna 4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Point (107808.84957181 99174.17105826),107808.84957181,99174.17105826,-58.37813396,-34.63668504
2016-0037,2016-03-19,2016,3,19,Sabado,11:00:00,11,1,MOTO-MOTO,CONDUCTOR,MOTO,MOTO,MASCULINO,20, Entre 21- 40,2016-03-19,AV. EVA PERON Y QUIRNO,AVENIDA,LAFUENTE AV.,QUIRNO,LAFUENTE AV. y QUIRNO,Comuna 7,FLORES - PARQUE CHACABUCO,Point (100049.60313526 98412.21255444),100049.60313526,98412.21255444,-58.46275892,-34.64358293
2016-0038,2016-03-21,2016,3,21,Lunes,08:06:00,8,1,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,29, Entre 21- 40,2016-03-21,AV GRAL PAZ COLECTORA Y ZUVIRIA,GRAL PAZ,"PAZ, GRAL. AV.",ZUVIRIA,"PAZ, GRAL. AV. y ZUVIRIA",Comuna 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Point (96926.79887463 94490.76318635),96926.79887463,94490.76318635,-58.49683458,-34.67892743
2016-0039,2016-03-23,2016,3,23,Miercoles,01:50:00,1,1,MOTO-PASAJEROS,CONDUCTOR,PASAJEROS,MOTO,MASCULINO,20, Entre 21- 40,2016-03-23,BARTOLOME MITRE Y AV PUEYRREDON,AVENIDA,"MITRE, BARTOLOME",PUEYRREDON AV.,"MITRE, BARTOLOME y PUEYRREDON AV.",Comuna 3,BALVANERA - SAN CRISTOBAL,Point (105252.60308563 102264.96028996),105252.60308563,102264.96028996,-58.40603217,-34.6088396
2016-0041,2016-03-29,2016,3,29,Martes,11:00:00,11,2,MOTO-CARGAS,CONDUCTOR,CARGAS,MOTO,MASCULINO,54,Entre 41-60,2016-03-29,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,DIRECTORIO AV.,RIVERA INDARTE AV.,DIRECTORIO AV. y RIVERA INDARTE AV.,Comuna 7,FLORES - PARQUE CHACABUCO,Point (100232.38564985 99530.25843190),100232.38564985,99530.2584319,-58.4607655,-34.63350444
2016-0041,2016-03-29,2016,3,29,Martes,11:00:00,11,2,MOTO-CARGAS,PASAJERO_ACOMPAÑANTE,CARGAS,MOTO,MASCULINO,0,Menos de 20,2016-03-30,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,DIRECTORIO AV.,RIVERA INDARTE AV.,DIRECTORIO AV. y RIVERA INDARTE AV.,Comuna 7,FLORES - PARQUE CHACABUCO,Point (100232.38564985 99530.25843190),100232.38564985,99530.2584319,-58.4607655,-34.63350444
2016-0043,2016-03-30,2016,3,30,Miercoles,18:15:00,18,1,PEATON-CARGAS,PEATON,CARGAS,PEATON,FEMENINO,56,Entre 41-60,2016-03-30,DELLEPIANE LUIS TTE GRAL COLECTORA Y MURGUIONDO,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.",MURGUIONDO,"DELLEPIANE, LUIS, TTE. GRAL. y MURGUIONDO",Comuna 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Point (98623.04338909 94933.06478837),98623.04338909,94933.06478837,-58.47832463,-34.67494416
2016-0044,2016-03-31,2016,3,31,Jueves,19:40:00,19,1,MULTIPLE,CONDUCTOR,MULTIPLE,MOTO,MASCULINO,24, Entre 21- 40,2016-03-31,AV JOSE MARIA MORENO Y BALBASTRO,AVENIDA,"MORENO, JOSE MARIA AV.",BALBASTRO,"MORENO, JOSE MARIA AV. y BALBASTRO",Comuna 7,FLORES - PARQUE CHACABUCO,Point (102857.73817324 99148.76714504),102857.73817324,99148.76714504,-58.43213235,-34.63693953
2016-0045,2016-04-11,2016,4,11,Lunes,10:25:00,10,1,MOTO-SD,CONDUCTOR,SD,MOTO,MASCULINO,0,Menos de 20,,AV GRAL PAZ Y AV DEL LIBERTADOR,GRAL PAZ,"PAZ, GRAL. AV.",DEL LIBERTADOR AV.,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",Comuna 13,BELGRANO - COLEGIALES - NUÃ‘EZ,Point (99620.34936816 110483.29286598),99620.34936816,110483.29286598,-58.46743471,-34.53476874
2016-0047,2016-04-15,2016,4,15,Viernes,05:30:00,5,1,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,41,Entre 41-60,2016-04-15,LIMA 1483,CALLE,LIMA,,LIMA 1483,Comuna 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Point (107412.19098904 100391.02557777),107412.19098904,100391.02557777,-58.38247061,-34.62571878
2016-0048,2016-04-15,2016,4,15,Viernes,17:40:00,17,1,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,FEMENINO,0,Menos de 20,,AV. CORRIENTES Y AV. DORREGO,AVENIDA,CORRIENTES AV.,DORREGO AV.,CORRIENTES AV. y DORREGO AV.,Comuna 15,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,Point (101440.29935254 104167.40204334),101440.29935254,104167.40204334,-58.44759966,-34.5917024
2016-0049,,,,,,,,0,,SD,,,SD,0,Menos de 20,,,,,,,,,,,,,
2016-0050,2016-04-19,2016,4,19,Martes,09:50:00,9,1,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,78,Entre 61-80,2016-04-19,TIMOTEO GORDILLO Y AV FERNANDEZ DE LA CRUZ,AVENIDA,"GORDILLO, TIMOTEO","FERNANDEZ DE LA CRUZ, F., GRAL. AV.","GORDILLO, TIMOTEO y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",Comuna 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Point (99106.14718950 93761.32882893),99106.1471895,93761.32882893,-58.47305463,-34.68550712
2016-0051,2016-04-20,2016,4,20,Miercoles,04:00:00,4,1,MOTO-CARGAS,CONDUCTOR,CARGAS,MOTO,MASCULINO,36, Entre 21- 40,2016-04-20,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,"ALCORTA, AMANCIO AV.","BONAVENA, OSCAR NATALIO","ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",Comuna 4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Point (105230.98315750 97613.97258373),105230.9831575,97613.97258373,-58.40623949,-34.65076549
2016-0052,,,,,,,,0,,SD,,,SD,0,Menos de 20,,,,,,,,,,,,,
2016-0053,2016-04-22,2016,4,22,Viernes,09:30:00,9,1,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,38, Entre 21- 40,2016-04-22,AV TRIUNVIRATO Y AV OLAZABAL,AVENIDA,TRIUNVIRATO AV.,OLAZABAL AV.,TRIUNVIRATO AV. y OLAZABAL AV.,Comuna 12,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,Point (98073.80557770 105955.73972818),98073.8055777,105955.73972818,-58.4842918,-34.57558053
2016-0054,2016-04-23,2016,4,23,Sabado,21:00:00,21,1,MOTO-MOTO,CONDUCTOR,MOTO,MOTO,MASCULINO,30, Entre 21- 40,2016-04-25,AU LUIS DELLEPIANE Y AV GRAL PAZ,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,"PAZ, GRAL. AV.","AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y PAZ, GRAL. AV.",Comuna 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Point (97832.57143731 93489.83736533),97832.57143731,93489.83736533,-58.48695354,-34.68795245
2016-0055,2016-04-25,2016,4,25,Lunes,20:30:00,20,1,PEATON-CARGAS,PEATON,CARGAS,PEATON,MASCULINO,79,Entre 61-80,2016-04-28,RAMON CASTILLA Y AV FIGUEROA ALCORTA,AVENIDA,"CASTILLA, RAMON, MARISCAL","FIGUEROA ALCORTA, PRES. AV.","CASTILLA, RAMON, MARISCAL y FIGUEROA ALCORTA, PRES. AV.",Comuna 14,PALERMO,Point (105787.74102401 105502.98340149),105787.74102401,105502.98340149,-58.40021959,-34.57964781
2016-0056,2016-04-26,2016,4,26,Martes,04:45:00,4,1,MOTO-OBJETO FIJO,CONDUCTOR,OBJETO FIJO,MOTO,MASCULINO,26, Entre 21- 40,2016-04-26,AV LUIS MARIA CAMPOS 30,AVENIDA,"CAMPOS, LUIS M. AV.",,"CAMPOS, LUIS M. AV. 30",Comuna 14,PALERMO,Point (103094.06446966 105842.29634122),103094.06446966,105842.29634122,-58.42957885,-34.57660058
2016-0058,2016-05-04,2016,5,4,Miercoles,14:00:00,14,1,PEATON-MOTO,PEATON,MOTO,PEATON,FEMENINO,57,Entre 41-60,2016-05-08,LIMA 1471,CALLE,LIMA,,LIMA 1471,Comuna 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Point (107411.76356149 100408.31441284),107411.76356149,100408.31441284,-58.38247542,-34.62556293
2016-0059,2016-05-08,2016,5,8,Domingo,16:30:00,16,1,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,37, Entre 21- 40,2016-05-26,PASAJE CIUDADELA Y LIMA OESTE,CALLE,CIUDADELA,LIMA,CIUDADELA y LIMA,Comuna 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Point (107434.83290791 100217.70308007),107434.83290791,100217.70308007,-58.38222219,-34.62728101
2016-0064,2016-05-14,2016,5,14,Sabado,18:11:00,18,1,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,20, Entre 21- 40,,AV JUAN B JUSTO Y AV CARRASCO,AVENIDA,"JUSTO, JUAN B. AV.",CARRASCO AV.,"JUSTO, JUAN B. AV. y CARRASCO AV.",Comuna 10,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,Point (97106.70264812 99970.19547024),97106.70264812,99970.19547024,-58.49485242,-34.62953445
2016-0065,2016-05-20,2016,5,20,Viernes,14:40:00,14,1,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,20, Entre 21- 40,2016-05-20,AV GAONA Y ESPINOSA,AVENIDA,GAONA AV.,ESPINOSA,GAONA AV. y ESPINOSA,Comuna 6,CABALLITO,Point (101010.75965434 102062.18185970),101010.75965434,102062.1818597,-58.45227946,-34.61068024
2016-0067,2016-05-21,2016,5,21,Sabado,17:00:00,17,1,MOTO-PASAJEROS,PASAJERO_ACOMPAÑANTE,PASAJEROS,MOTO,FEMENINO,30, Entre 21- 40,,AV LISANDRO DE LA TORRE Y SARAZA,AVENIDA,"DE LA TORRE, LISANDRO",SARAZA,"DE LA TORRE, LISANDRO y SARAZA",Comuna 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Point (98052.13008621 94912.60873025),98052.13008621,94912.60873025,-58.48455411,-34.6751276
2016-0068,2016-05-22,2016,5,22,Domingo,22:00:00,22,1,MOTO-PASAJEROS,CONDUCTOR,PASAJEROS,MOTO,MASCULINO,58,Entre 41-60,,AV FIGUEROA ALCORTA Y AV PUEYRREDON,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",PUEYRREDON AV.,"FIGUEROA ALCORTA, PRES. AV. y PUEYRREDON AV.",Comuna 2,RECOLETA,Point (106673.12856878 104998.99234220),106673.12856878,104998.9923422,-58.39056593,-34.58418569
2016-0069,2016-05-23,2016,5,23,Lunes,03:30:00,3,1,AUTO-CARGAS,CONDUCTOR,CARGAS,AUTO,MASCULINO,30, Entre 21- 40,2016-05-23,AV ENTRE RIOS Y PASAJE FILIBERTO,AVENIDA,ENTRE RIOS AV.,FILIBERTO,ENTRE RIOS AV. y FILIBERTO,Comuna 3,BALVANERA - SAN CRISTOBAL,Point (106612.54991859 100244.75667446),106612.54991859,100244.75667446,-58.39118948,-34.62704273
2016-0073,2016-06-11,2016,6,11,Sabado,15:00:00,15,1,MOTO-CARGAS,CONDUCTOR,CARGAS,MOTO,MASCULINO,23, Entre 21- 40,,MAGARIÑOS CERVANTES 3900,CALLE,"MAGARI?OS CERVANTES, A.",,"MAGARIÃ‘OS CERVANTES, A. 3900",Comuna 10,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,Point (97531.24792840 101000.15957301),97531.2479284,101000.15957301,-58.49021952,-34.62025108
2016-0074,2016-06-12,2016,6,12,Domingo,06:40:00,6,1,AUTO-AUTO,CONDUCTOR,AUTO,AUTO,MASCULINO,60,Entre 61-80,,AV GRAL PAZ Y RODOLFO SCAPINO,GRAL PAZ,"PAZ, GRAL. AV.","SCAPINO, RODOLFO","PAZ, GRAL. AV. y SCAPINO, RODOLFO",Comuna 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Point (96731.44252651 94668.88351657),96731.44252651,94668.88351657,-58.49896559,-34.67732118
2016-0075,2016-06-12,2016,6,12,Domingo,23:13:00,23,1,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,42,Entre 41-60,2016-06-12,AUTOPISTA DELLEPIANE LUIS TTE GRAL Y MIRALLA,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,MIRALLA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y MIRALLA,Comuna 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Point (98963.32962830 95620.61360192),98963.3296283,95620.61360192,-58.47461076,-34.66874679
